Name,Description,Logo_url
Augmania,The Augmented Reality Platform for creating awesome experiences.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Augmania-81338024-23f1-48e0-84ca-df179f0b527c.png
Squarespace,Squarespace is a website builder tool that is aimed mainly at small business owners and ‘solopreneurs.’,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Squarespace-47e4f917-18ab-4c56-a372-99e3324a9699.png
Graphy,"Create custom courses, build beautiful no-code websites, or launch your own app — all using just Graphy.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Graphy-159bf62f-5dca-4055-b644-24f3cf971608.png
Typeform,"Notion is an all-in-one workspace for teams. It is one of the excellent tools that people use for various projects, from educational school projects to project management and business automation. Notion is a powerful tool for team collaboration, managing projects, tasks, customer support, Notes, organizing processes, information exchange, etc.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Typeform-bfc83f32-332f-492c-9a34-eb82eb59bc93.png
BuilderX,BuilderX is a browser based design tool that codes React Native & React for you,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/BuilderX-52b780cf-42e1-4982-98b5-6b4d8ef04f26.png
Tribe,"Tribe Community Platform offers robust customizability, an app store to add new functionalities, and the ability to embed into products.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Tribe-690e999f-b2fe-44e9-87ae-b0873eaa0450.png
Deep Sherpa,Unknown platform. No information available.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Deep Sherpa-e644103a-efb5-42d8-b2b1-7917d6856871.png
Big Commerce,BigCommerce is the most trusted commerce solution provider.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Big Commerce-2cdc6c99-f5f2-456f-9635-e6e6fc6d10ba.png
Cargo,Cargo is a professional site building platform for designers and artists.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Cargo-9d8d0ef4-dd94-49aa-8f5e-803e99b15677.png
Payhip,Payhip is the easiest way to sell digital downloads and courses.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Payhip-705fe8e9-04cd-4e40-b924-6a9ebd90c12b.png
DreamFactory,"DreamFactory is a free, open source software package that provides a complete REST API for mobile, web, and IoT applications.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/DreamFactory-b166a588-4c4e-47ad-8003-152615525de1.png
WebStudio,The solution provides product navigation based on Product Information Management (PIM) hierarchy to users.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/WebStudio-8839b445-64e3-43ab-8046-f6cf8cdc1247.png
Figma,"Figma connects everyone in the design process so teams can deliver better products, faster.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Figma-78bfa45e-d6e6-4b56-a2d4-861db9b472f3.png
Play,"The first native iOS design tool built for creating mobile products letting you design, iterate and collaborate directly from your phone.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Play-93d6cbe3-0177-4ec0-963c-bbeb7f9015d6.png
Google Sheets,"With Google Sheets, you can create and edit spreadsheets directly in your web browser—no special software is required.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Google Sheets-b66e0ae7-3229-471b-b332-dcf62b7d6448.png
Airtable,"Airtable is a low-code platform for building collaborative apps. Customize your workflow, collaborate, and achieve ambitious outcomes.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Airtable-777f4350-1cea-4082-b83b-090013bb5173.png
Walls.io,"Use a social wall to engage your audience with user-generated content that increases brand awareness at events, on displays & on your website.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Walls.io-f1611de0-4558-4ef8-bd6a-ffed156d014f.png
Quest AI,Generate React components from your Figma design and export clean code that is extendable.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Quest AI-e6c239c9-4c83-43c6-9e21-a4f79f24978e.png
Hubspot,"Marketing, sales, and service software that helps your business grow without compromise. Because “good for the business” should also mean “good for the customer.”",https://84a044a110ed336e2c868a046cff31a0.cdn.bubble.io/f1683596201126x624233345900780700/hubspot.png
Gumroad,"Gumroad is a powerful, but simple, e-commerce platform.",https://84a044a110ed336e2c868a046cff31a0.cdn.bubble.io/f1683598747643x202448297328110750/Gumroad%20.png
DronaHQ,"DronaHQ offers a drag-drop low-code platform to build internal tools, apps, workflows, mobile apps.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/DronaHQ-87449d15-98f7-454d-9f2a-9e82eaa83d8f.png
Anchor,"Spotify’s free podcasting platform—the easiest way to create, distribute, and monetize your show.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Anchor-07e2e5db-bbd3-4819-a689-83a613e9ebfc.png
Weglot,Weglot helps businesses translate their websites in a few clicks.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Weglot-8f6bbb46-1a68-4d18-b2b3-457fce0a7459.png
NoCodeAPI,"Save time & money to set up your Google Sheets, Airtable, Google Analytics, Telegram, 50 + apps without any backend",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/NoCodeAPI-5d1d0dd8-9b92-4332-8fec-1a4de20e31ef.png
Mailchimp,Our marketing and commerce tools work together to help you run your business—so you can take on whatever’s next.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Mailchimp-25822d03-7c40-4c0f-9799-80cdac291d15.png
Axiom,Save time - use browser bots to automate website actions and repetitive tasks on any website or web app.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Axiom-697b6315-d245-4285-b84a-2f9228179623.png
Betty Blocks,Enable more of your workforce to build apps with the #1 citizen development platform.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Betty Blocks-5f2e1c52-6dd0-4b86-9a9d-a588fa045d00.png
Opsonion,Opsonion is a leading provider of no code features that enable organizations to rapidly create and deploy custom applications without writing code.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Opsonion-c5f875a8-7c38-4e99-a6b9-61b5a69ec110.png
Mobirise,"Mobirise is a free offline downloadable app for Windows, Mac, Linux to easily create small/medium websites, landing pages, simple web stores.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Mobirise-e6ff242d-8c3e-487e-8b9e-16013719d654.png
Sourcery,Sourcery reviews your code everywhere you work and automatically suggests improvements.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Sourcery-dfe47c9a-fb64-4548-a58b-cdeffd266cc4.png
ConvertKit,ConvertKit is one of the best email marketing software tailored exclusively for bloggers and other creators. It’s a very powerful software built with ease of use in mind.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/ConvertKit-ba5a95a6-d903-4aa0-bdbf-d6668130f1c2.png
WLNC Regulations,Unknown platform. No information available.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/WLNC Regulations-99a7afa2-c5bb-4d59-96e0-f894fdec85ce.png
Zapier,"Easy automation for busy people. Zapier moves info between your web apps automatically, so you can focus on your most important work.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Zapier-02026ea0-1016-4bfe-a846-923e5c4ec684.png
UX/UI Design,"UI/UX designers create the user interface for an app, website, or other interactive media.",https://84a044a110ed336e2c868a046cff31a0.cdn.bubble.io/f1683596458594x636103752034246800/ux-ui.png
Stencyl,"Stencyl isn't your average game creation software, it's a gorgeous, intuitive toolset that accelerates your workflow and then gets out of the way.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Stencyl-25dbe2a5-0a36-4f58-bea9-496d3a3cbc84.png
Stripe,Stripe is a payment services provider that lets merchants accept credit and debit cards or other payments.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Stripe-d0fea892-87a1-41ef-b346-4dee9c7befbc.png
Spreadsheet.com,"Manage projects, automate workflows, and build your own no-code apps for teamwork.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Spreadsheet.com-72be9b42-7894-474f-bd32-02771aac207e.png
Job Board Fire,"Boost your organic reach, drive engagement, and generate revenue by launching a job marketplace.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Job Board Fire-525f10cf-78b9-4046-bdd4-ef344ac68409.png
Gyana,Gyana is the fast way to make custom reports for any data source.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Gyana-7fd13aed-11d4-4602-92cd-61c5c0979df7.png
Draftbit,"Draftbit is the pro-code native app builder, offering the most powerful and flexible way to visually create, customize, and launch native mobile apps.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Draftbit-2a7ceb4e-1e08-49ed-94ed-058dc45b6b5e.png
Calcapp,Forget error-prone Excel calculators and build apps instead. Our cloud-based app designer enables you to create apps without having to do any programming.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Calcapp-8cebd014-8998-42d5-85e7-1652915dd25d.png
ChatBot,An all-in-one platform to build and launch conversational chatbots without coding.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/ChatBot-f71f0f1e-5182-4f7c-8310-286ac5ed04e9.png
Clappia,"Clappia is a No Code platform that can transform non-developers into app makers, without needing to write a single line of code.‍",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Clappia-58561e4a-c2a0-4043-8ac0-127a85698a02.png
Xano,"Xano gives you a scalable server, a flexible database, and a No Code API builder that can transform, filter, and integrate with data from anywhere.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Xano-5b0b8e08-21c7-4c56-ba22-2ae87eb01f49.png
Thunkable,"Whether you’re looking to get hands-on with no-code creation, looking to launch your business, or want to extend your existing product to mobile – we make it easy to build your best apps.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Thunkable-bf74e11a-9607-4022-b1aa-6bc2e487d212.png
Microsoft PowerApps,Enterprise-oriented low-code tool for internal microservices.,https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Microsoft PowerApps-55efde8e-e987-4703-bec3-e0548fb1c9b2.png
Outsystems,"OutSystems is the most complete full-stack application development platform. Using high-productivity, connected, and AI-assisted tools, developers can build and deploy a full range of applications from consumer apps to critical business systems fast, right, and for the future.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Outsystems-6b0e8cc0-25eb-48c2-bfd9-83cc0c7fcbd5.png
Blueprints,"Choose the blocks, get a website. Easily create website layouts, templates, wireframes and more.",https://wlnc-bubble-app.s3.us-east-2.amazonaws.com/platforms/Blueprints-da9fc64d-3735-4567-9e60-83304250e6cd.png
